"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SRI","0.1598","12.79","1.014","0.3137","0.5128","-5.898"
"GRAMD3","0.1598","10.44","0.807","0.4221","0.6118","-6.081"
"MIOS","0.1597","9.199","1.896","0.06157","0.1683","-4.669"
"STK32A","0.1596","6.638","0.5786","0.5645","0.7344","-6.236"
"DCAF4L1","0.1596","3.846","0.7768","0.4396","0.6274","-6.105"
"GIT2","0.1593","10.24","2.073","0.04146","0.1268","-4.341"
"MTX3","0.1593","9.229","1.494","0.1392","0.2983","-5.317"
"CXorf42","0.1593","5.047","0.973","0.3335","0.5322","-5.937"
"POLR2J4","0.1592","8.892","1.362","0.177","0.3491","-5.498"
"CORIN","0.1591","2.714","1.092","0.2782","0.4741","-5.818"
"RGSL1","0.1591","-0.8156","1.399","0.1656","0.3347","-5.448"
"BLVRA","0.1591","9.809","1.15","0.2538","0.4452","-5.755"
"CLYBL","0.159","6.874","0.9007","0.3705","0.5632","-6.003"
"DNAJB6","0.1589","10.41","1.728","0.08792","0.2164","-4.958"
"OSTC","0.1589","10.16","0.8872","0.3777","0.5703","-6.015"
"GORAB","0.1588","8.335","1.323","0.1897","0.3662","-5.548"
"B4GALT7","0.1586","9.28","1.728","0.08794","0.2165","-4.958"
"SCARF2","0.1586","8.115","0.7835","0.4357","0.6239","-6.1"
"LOC92249","0.1586","9.12","1.876","0.06439","0.174","-4.706"
"CD101","0.1586","6.371","0.8997","0.371","0.5636","-6.004"
"TMEM127","0.1585","11","2.233","0.02841","0.09638","-4.022"
"ANXA10","0.1585","-0.7123","1.263","0.2102","0.3923","-5.623"
"ERVFRDE1","0.1585","-0.1511","0.7565","0.4516","0.6374","-6.12"
"NGF","0.1584","2.478","0.4535","0.6514","0.8052","-6.3"
"SC65","0.1583","9.42","1.024","0.3091","0.5082","-5.888"
"SLC33A1","0.1583","8.734","1.824","0.07197","0.188","-4.797"
"ITPA","0.1582","9.745","1.249","0.2152","0.3986","-5.64"
"POLD3","0.1582","8.745","1.653","0.1022","0.2404","-5.077"
"PBX4","0.1582","4.322","0.677","0.5004","0.6804","-6.176"
"C14orf145","0.1581","5.727","0.935","0.3526","0.5454","-5.973"
"NR4A2","0.158","6.501","0.581","0.5629","0.733","-6.235"
"SERTAD2","0.158","9.074","1.119","0.2664","0.46","-5.789"
"ZNF79","0.158","6.698","1.717","0.08981","0.2196","-4.975"
"CBWD2","0.158","9.143","1.521","0.1322","0.2887","-5.278"
"CDK5RAP2","0.158","9.76","1.083","0.2821","0.4786","-5.827"
"TUT1","0.158","9.041","1.468","0.1462","0.308","-5.354"
"LOC100131496","0.1579","1.345","0.7882","0.433","0.6216","-6.096"
"ASB15","0.1579","-0.8522","1.624","0.1084","0.2502","-5.124"
"MLXIP","0.1577","8.92","0.9869","0.3267","0.526","-5.924"
"GALK2","0.1576","7.932","2.025","0.04624","0.1366","-4.433"
"IFI44L","0.1575","10.18","0.4212","0.6748","0.8217","-6.314"
"OR4N3P","0.1575","-0.5103","0.7891","0.4324","0.6211","-6.095"
"RETSAT","0.1574","10.45","1.591","0.1156","0.2621","-5.174"
"INVS","0.1572","7.601","1.326","0.1885","0.3646","-5.544"
"CRY1","0.1571","9.581","1.147","0.255","0.4465","-5.759"
"LOC100134368","0.157","1.694","0.6603","0.511","0.6895","-6.187"
"TYW1B","0.157","6.495","0.6825","0.4969","0.6772","-6.172"
"APOM","0.1569","6.099","0.7432","0.4596","0.6443","-6.13"
"XRRA1","0.1569","8.129","1.408","0.1632","0.3319","-5.437"
"MGC42105","0.1568","8.635","0.8788","0.3822","0.5742","-6.022"
"SLC35C2","0.1566","10.11","1.701","0.09281","0.2244","-5.001"
"TNFSF9","0.1566","4.012","0.4592","0.6473","0.8023","-6.297"
"ULBP1","0.1566","4.075","0.3434","0.7322","0.8629","-6.343"
"E2F1","0.1565","8.795","0.6825","0.4969","0.6772","-6.172"
"SBF2","0.1564","9.998","1.418","0.1601","0.3277","-5.423"
"RINT1","0.1564","9.149","1.587","0.1164","0.2632","-5.179"
"C1orf103","0.1563","8.592","1.15","0.2535","0.445","-5.755"
"C2CD3","0.1563","9.149","1.438","0.1543","0.3199","-5.395"
"DEDD2","0.1563","8.933","1.165","0.2476","0.4377","-5.738"
"C8orf79","0.1562","7.545","0.463","0.6446","0.8001","-6.295"
"KIAA1984","0.156","2.951","0.7366","0.4635","0.6474","-6.135"
"ATF1","0.156","8.023","1.5","0.1376","0.2958","-5.308"
"SNX5","0.1559","11.24","1.437","0.1548","0.3207","-5.398"
"SLC25A40","0.1559","7.374","1.279","0.2045","0.3855","-5.603"
"PPWD1","0.1558","8.474","1.953","0.05442","0.1538","-4.568"
"KIAA1033","0.1558","10.05","1.632","0.1066","0.2475","-5.11"
"ALG1","0.1558","9.109","1.631","0.1068","0.2477","-5.112"
"C1orf114","0.1556","7.089","0.8345","0.4065","0.5963","-6.059"
"CUX1","0.1556","10.74","1.433","0.1558","0.3218","-5.403"
"GATM","0.1552","12.32","0.5846","0.5605","0.7316","-6.233"
"TRIM8","0.1551","10.55","1.48","0.1428","0.3034","-5.337"
"ZNF398","0.1551","8.831","1.718","0.08968","0.2193","-4.974"
"ANKDD1A","0.1551","7.767","1.038","0.3023","0.5011","-5.874"
"SNX21","0.1551","9.173","1.501","0.1374","0.2957","-5.307"
"KCNA10","0.1551","-0.7924","1.351","0.1806","0.3541","-5.513"
"BECN1","0.1551","10.3","2.54","0.01306","0.05498","-3.35"
"PSME4","0.155","9.948","1.7","0.09308","0.225","-5.003"
"STAB2","0.155","0.01635","0.7414","0.4606","0.6452","-6.131"
"LOC285419","0.1549","1.365","0.596","0.5529","0.7252","-6.226"
"SOX2","0.1549","12.54","0.6809","0.4979","0.6783","-6.173"
"AHCYL1","0.1549","13.14","0.7514","0.4546","0.6403","-6.124"
"NOTCH2NL","0.1549","9.037","0.8326","0.4076","0.5974","-6.061"
"ADCY4","0.1548","6.044","0.6892","0.4927","0.6732","-6.168"
"KIR2DL1","0.1548","-0.7199","1.15","0.2538","0.4452","-5.755"
"SSH2","0.1547","9.095","0.8931","0.3745","0.5671","-6.01"
"TLE1","0.1546","10","0.9518","0.3441","0.5398","-5.957"
"ROPN1B","0.1545","2.231","0.3828","0.7029","0.8415","-6.329"
"ENO3","0.1543","5.872","0.5765","0.5659","0.7355","-6.238"
"HIST1H2BO","0.1542","1.666","0.4059","0.6859","0.8296","-6.32"
"GMEB2","0.1542","8.759","1.578","0.1186","0.2672","-5.194"
"CAP1","0.1542","12.54","1.728","0.08782","0.2163","-4.957"
"ZGPAT","0.1541","9.024","1.233","0.2214","0.4055","-5.66"
"FAM199X","0.154","8.916","1.187","0.2386","0.4267","-5.713"
"SCML4","0.1539","2.83","0.396","0.6932","0.8344","-6.324"
"IRF9","0.1537","10.27","1.003","0.319","0.5185","-5.909"
"GTF2IRD1","0.1536","9.191","1.404","0.1643","0.3329","-5.442"
"CENPE","0.1536","7.176","0.5198","0.6047","0.7682","-6.268"
"FOXD3","0.1535","3.964","0.2999","0.765","0.886","-6.357"
"ARHGAP19","0.1534","8.444","0.9835","0.3284","0.5276","-5.927"
"HM13","0.1534","11.63","1.336","0.1853","0.3604","-5.531"
"RAI1","0.1534","9.317","0.9341","0.3531","0.5457","-5.973"
"DOLK","0.1533","9.394","1.898","0.06137","0.168","-4.667"
"C18orf2","0.1532","-0.5634","0.8603","0.3922","0.5835","-6.038"
"C2orf55","0.1531","8.157","0.5344","0.5946","0.7593","-6.261"
"CARS","0.153","10.37","1.558","0.1233","0.2748","-5.224"
"CHMP4B","0.153","11.59","2.28","0.02528","0.08863","-3.922"
"C1orf170","0.1529","1.688","0.4213","0.6747","0.8217","-6.314"
"FAM96A","0.1529","9.659","0.9794","0.3304","0.5294","-5.931"
"PSMG3","0.1529","9.676","1.14","0.2576","0.4494","-5.766"
"C9orf69","0.1527","9.708","1.793","0.07673","0.1966","-4.849"
"METRN","0.1526","10.98","0.6626","0.5095","0.688","-6.185"
"GPR32","0.1526","-0.6835","1.124","0.2645","0.4577","-5.784"
"SLC39A11","0.1525","8.428","0.9912","0.3246","0.5241","-5.92"
"GTSE1","0.1524","7.547","0.4085","0.684","0.8283","-6.319"
"GRPR","0.1524","2.706","0.6204","0.5368","0.712","-6.212"
"HERC6","0.1524","8.917","0.5857","0.5597","0.731","-6.232"
"CDCA4","0.1523","7.862","0.7369","0.4634","0.6472","-6.134"
"CCNK","0.1523","9.71","1.463","0.1475","0.3097","-5.361"
"FAM138B","0.1523","-0.45","0.7641","0.4471","0.6338","-6.114"
"TCL1A","0.1522","-0.1216","0.6703","0.5046","0.6842","-6.18"
"HHIPL1","0.1522","6.732","0.6128","0.5418","0.7162","-6.216"
"ACADVL","0.1522","11.82","1.382","0.1709","0.3407","-5.472"
"MYO1B","0.1522","9.357","0.7329","0.4658","0.6494","-6.137"
"ZNF407","0.1521","7.681","1.001","0.3199","0.5193","-5.911"
"HEBP2","0.1521","9.049","0.8342","0.4067","0.5964","-6.06"
"VILL","0.152","6.709","0.6041","0.5475","0.7209","-6.222"
"H1FOO","0.152","-0.78","0.9265","0.357","0.5491","-5.98"
"TLR4","0.1519","9.473","0.6635","0.5089","0.6875","-6.185"
"PITPNM2","0.1519","8.849","0.7833","0.4358","0.624","-6.1"
"POLR2L","0.1518","10.77","0.879","0.3821","0.5741","-6.022"
"GTSF1L","0.1518","-0.6537","1.038","0.3023","0.5011","-5.873"
"TBC1D22B","0.1517","8.652","1.959","0.05361","0.1524","-4.555"
"SLC29A2","0.1517","7.083","0.6177","0.5386","0.7134","-6.213"
"HSPC157","0.1515","7.718","1.013","0.3143","0.5134","-5.899"
"LUZP6","0.1515","12.78","1.771","0.08043","0.2031","-4.887"
"RCVRN","0.1515","2.747","0.549","0.5846","0.7514","-6.253"
"CLN5","0.1514","9.957","1.007","0.317","0.5167","-5.905"
"DIP2A","0.1513","9.485","1.029","0.3064","0.5055","-5.882"
"TMC4","0.1513","3.757","0.5456","0.5869","0.7532","-6.255"
"NUP107","0.1512","9.322","0.7859","0.4343","0.6228","-6.098"
