"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C5orf41","0.1434","7.8","1.03","0.3061","0.5051","-5.882"
"TSEN34","0.1432","9.896","1.212","0.2289","0.4151","-5.684"
"CAPN5","0.1432","11.03","0.7111","0.4791","0.6611","-6.153"
"UBTD2","0.1432","9.635","1.338","0.1849","0.3598","-5.53"
"SLC37A3","0.143","9.49","1.55","0.1251","0.2776","-5.235"
"TSPAN10","0.143","3.41","0.4873","0.6274","0.7864","-6.284"
"MARCH10","0.1429","3.69","0.4771","0.6346","0.7923","-6.289"
"PRAF2","0.1429","11.12","1.349","0.1813","0.3549","-5.515"
"TRAPPC10","0.1429","9.692","1.078","0.2842","0.4809","-5.832"
"ABCC13","0.1429","-0.3705","0.6148","0.5404","0.7152","-6.215"
"SPG21","0.1429","10.78","1.406","0.1637","0.3321","-5.439"
"MRPS6","0.1429","9.867","0.8771","0.3831","0.575","-6.024"
"CA5BP","0.1428","8.263","1.202","0.2329","0.4197","-5.695"
"C8orf75","0.1428","-0.7531","1.18","0.2415","0.4305","-5.721"
"ZHX3","0.1428","11.16","1.039","0.302","0.5009","-5.873"
"FAM157B","0.1427","-0.7329","1.1","0.2745","0.4694","-5.809"
"ZNF107","0.1426","8.327","0.9471","0.3465","0.5403","-5.962"
"C3orf63","0.1426","10.49","1.594","0.1149","0.2609","-5.169"
"C16orf86","0.1426","6.017","0.9126","0.3642","0.5565","-5.993"
"C20orf94","0.1426","3.904","0.6021","0.5488","0.722","-6.223"
"GATAD2A","0.1426","10.6","1.197","0.235","0.4222","-5.702"
"PEX11A","0.1426","6.942","0.8541","0.3956","0.5865","-6.043"
"EIF3M","0.1425","10.87","1.623","0.1086","0.2505","-5.125"
"CTTN","0.1425","11.29","1.43","0.1565","0.3229","-5.406"
"ZNF490","0.1424","8.015","1.571","0.1202","0.2696","-5.205"
"OR2J2","0.1424","-0.8969","1.52","0.1324","0.2889","-5.279"
"KRTAP5.8","0.1423","0.4106","0.5717","0.5691","0.738","-6.24"
"LOC389791","0.1423","1.857","0.588","0.5582","0.7297","-6.231"
"USP8","0.1423","10.21","1.647","0.1036","0.2427","-5.088"
"ADRBK1","0.1422","10.73","1.196","0.2352","0.4225","-5.702"
"KTI12","0.1422","8.19","1.427","0.1575","0.3243","-5.411"
"SFRS2IP","0.1422","10.34","1.441","0.1535","0.3188","-5.391"
"XRN2","0.1421","10.81","1.224","0.2244","0.4098","-5.669"
"MEGF8","0.1421","11.47","0.7164","0.4759","0.6583","-6.149"
"CNIH4","0.142","9.78","1.163","0.2482","0.4385","-5.74"
"ZSWIM4","0.1419","8.413","0.9292","0.3556","0.5477","-5.978"
"CSNK1A1P","0.1419","0.09498","0.4726","0.6378","0.7946","-6.291"
"HNRNPU","0.1419","12.88","1.345","0.1826","0.3564","-5.52"
"ENAH","0.1418","11.63","1.096","0.2763","0.4718","-5.814"
"ENTPD5","0.1418","6.718","0.9035","0.369","0.5616","-6.001"
"WNT5A","0.1417","9.187","0.619","0.5377","0.7127","-6.213"
"SLC17A5","0.1417","8.882","1.258","0.2122","0.3946","-5.629"
"SMYD4","0.1417","8.415","1.618","0.1097","0.2525","-5.133"
"FAM120AOS","0.1416","9.959","1.597","0.1143","0.2599","-5.165"
"GOLGB1","0.1416","10.66","1.096","0.2764","0.4718","-5.814"
"PRDM15","0.1414","7.374","1.069","0.2883","0.4856","-5.842"
"JAM3","0.1414","11.24","1.205","0.2318","0.4185","-5.692"
"LRRC8C","0.1413","8.468","1.16","0.2495","0.4403","-5.744"
"RALA","0.1412","10.77","1.639","0.1051","0.245","-5.1"
"KLRF1","0.1412","1.227","0.4616","0.6456","0.8011","-6.296"
"SLC5A10","0.1411","-0.4141","0.8394","0.4038","0.5939","-6.055"
"C1orf213","0.1411","6.802","0.7776","0.4392","0.627","-6.104"
"MED22","0.1411","9.758","1.518","0.1329","0.2896","-5.282"
"GLE1","0.141","9.725","1.594","0.115","0.2611","-5.17"
"IPO9","0.141","11.56","1.576","0.119","0.2678","-5.197"
"INTS3","0.1409","11.04","1.404","0.1643","0.3329","-5.442"
"DPYSL2","0.1409","13.61","1.213","0.2286","0.4148","-5.683"
"FUZ","0.1409","9.176","1.119","0.2664","0.46","-5.789"
"IMPACT","0.1407","9.957","1.381","0.1711","0.3409","-5.472"
"AMACR","0.1407","8.425","1.234","0.2207","0.4045","-5.658"
"EPS8L1","0.1407","3.789","0.6647","0.5082","0.6869","-6.184"
"FOXJ3","0.1406","10.44","1.551","0.1248","0.2772","-5.234"
"KLK13","0.1406","-0.6534","0.9586","0.3407","0.5382","-5.951"
"B3GALT6","0.1405","9.461","1.33","0.1875","0.3634","-5.54"
"S100PBP","0.1403","9.482","1.334","0.1861","0.3614","-5.534"
"MYH11","0.1402","6.274","0.3268","0.7447","0.8718","-6.348"
"SPATA6","0.1401","7.893","0.6267","0.5326","0.7083","-6.208"
"KIAA0947","0.1401","9.808","1.07","0.2879","0.4853","-5.841"
"THAP6","0.1401","7.866","1.47","0.1456","0.3073","-5.352"
"HAUS2","0.14","9.452","1.571","0.1202","0.2695","-5.204"
"RNF169","0.14","8.126","0.9694","0.3353","0.5338","-5.941"
"FCRL3","0.1399","-0.05139","0.5128","0.6095","0.7721","-6.272"
"LLPH","0.1398","9.025","1.332","0.1867","0.3623","-5.537"
"TFG","0.1398","11.08","1.945","0.05533","0.1557","-4.582"
"TTC35","0.1398","9.326","1.63","0.1071","0.2482","-5.114"
"DEFA4","0.1398","-0.5091","0.6642","0.5085","0.6872","-6.184"
"XRCC2","0.1398","5.742","0.5117","0.6103","0.7727","-6.272"
"NAP1L4","0.1398","11.49","1.637","0.1057","0.2458","-5.104"
