"baseMean","log2FoldChange","stat","pvalue","padj","B","symbol"
6.88,1.795,6.471,7.547e-09,2.479e-06,10.04,"FOSL1"
5.863,1.793,4.472,2.563e-05,0.0006798,2.353,"RARRES1"
5.499,1.793,5.137,1.965e-06,0.0001174,4.769,"POM121L9P"
9.639,1.792,3.65,0.0004693,0.005053,-0.3495,"NNMT"
7.058,1.792,4.788,7.74e-06,0.0003017,3.477,"ZMYND10"
7.157,1.786,5.815,1.23e-07,1.759e-05,7.391,"CDCP1"
5.206,1.783,5.318,9.51e-07,6.817e-05,5.454,"CSTA"
2.347,1.778,3.653,0.0004645,0.005019,-0.3401,"C15orf26"
5.475,1.778,5.524,4.12e-07,4.181e-05,6.245,"DNAH5"
7.691,1.778,4.755,8.774e-06,0.00033,3.359,"COL22A1"
5.515,1.771,3.144,0.002348,0.01585,-1.82,"NKX2.5"
9.325,1.771,6.139,3.14e-08,6.776e-06,8.686,"CFI"
3.657,1.769,4.281,5.179e-05,0.001094,1.695,"MMEL1"
5.583,1.76,5.823,1.189e-07,1.741e-05,7.423,"FCGR2C"
6.332,1.756,3.962,0.0001621,0.002411,0.6334,"UBD"
14.06,1.753,4.307,4.711e-05,0.001017,1.784,"SERPINA3"
10.47,1.752,4.18,7.479e-05,0.00142,1.353,"METTL7B"
12.17,1.749,6.884,1.246e-09,6.906e-07,11.75,"NAMPT"
8.318,1.743,2.41,0.01829,0.07016,-3.643,"H19"
9.47,1.741,6.233,2.103e-08,5.389e-06,9.066,"ICAM1"
2.371,1.736,3.61,0.0005353,0.005559,-0.4706,"C3orf16"
4.513,1.734,6.716,2.602e-09,1.067e-06,11.05,"VENTX"
0.8859,1.729,4.748,9.031e-06,0.0003342,3.332,"EDN2"
11.12,1.725,5.027,3.042e-06,0.0001556,4.357,"LGALS3"
4.347,1.725,4.149,8.36e-05,0.001533,1.249,"PAPPA"
10.34,1.724,5.614,2.844e-07,3.135e-05,6.596,"SDC4"
6.001,1.722,4.508,2.246e-05,0.0006299,2.477,"EFHC2"
7.322,1.72,4.047,0.0001204,0.001979,0.9098,"S100A8"
2.738,1.719,3.423,0.0009828,0.008549,-1.028,"HOXB6"
6.365,1.718,6.465,7.736e-09,2.479e-06,10.02,"HAS3"
10.48,1.714,5.958,6.747e-08,1.143e-05,7.96,"EMP3"
3.871,1.714,4.968,3.837e-06,0.0001848,4.138,"AGBL2"
11.31,1.713,7.731,2.924e-11,5.45e-08,15.32,"FAM20C"
2.001,1.712,3.383,0.001117,0.009351,-1.144,"C11orf88"
11.58,1.711,5.273,1.141e-06,7.948e-05,5.282,"PDPN"
9.279,1.711,4.195,7.095e-05,0.001361,1.402,"ANGPTL4"
9.95,1.711,5.619,2.781e-07,3.094e-05,6.617,"SERPINA1"
6.474,1.71,5.778,1.435e-07,1.962e-05,7.244,"HSPA7"
1.986,1.708,4.585,1.679e-05,0.0005182,2.75,"TMEM150B"
4.849,1.699,4.129,8.973e-05,0.001601,1.183,"IL21R"
2.463,1.699,4.575,1.745e-05,0.0005324,2.713,"KCNE1"
8.116,1.698,5.636,2.589e-07,2.933e-05,6.685,"SYNC"
2.442,1.689,4.147,8.41e-05,0.001539,1.243,"PPBP"
8.508,1.683,6.109,3.56e-08,7.298e-06,8.567,"C5AR1"
8.481,1.681,5.845,1.085e-07,1.611e-05,7.51,"DIRAS3"
8.194,1.681,8.062,6.624e-12,2.263e-08,16.73,"BCL3"
10.53,1.68,5.878,9.451e-08,1.468e-05,7.64,"CYR61"
9.245,1.678,5.121,2.099e-06,0.0001212,4.706,"ADM"
6.069,1.663,4.755,8.776e-06,0.00033,3.359,"GPRC5A"
5.415,1.658,4.455,2.729e-05,0.0007099,2.295,"SPAG4"
11.78,1.656,6.015,5.302e-08,9.764e-06,8.189,"C1R"
0.1852,1.655,4.752,8.878e-06,0.0003303,3.348,"ORM1"
9.361,1.653,4.185,7.346e-05,0.001398,1.369,"THBS1"
10.9,1.647,5.814,1.239e-07,1.759e-05,7.384,"ANXA2P2"
5.929,1.643,4.468,2.608e-05,0.0006873,2.337,"OSM"
6.27,1.641,7.915,1.28e-11,3.4e-08,16.1,"SGMS2"
6.8,1.641,4.821,6.812e-06,0.0002733,3.597,"ADAM8"
1.435,1.635,3.997,0.0001435,0.002237,0.7464,"LOC400891"
10.39,1.632,5.466,5.22e-07,4.736e-05,6.021,"CAV1"
3.371,1.632,3.841,0.0002462,0.003228,0.2459,"C3orf66"
13.6,1.632,5.738,1.699e-07,2.218e-05,7.084,"SOD2"
1.877,1.629,5.16,1.798e-06,0.0001107,4.852,"TREML2"
9.216,1.629,5.968,6.475e-08,1.113e-05,7.999,"OSMR"
1.697,1.628,5.41,6.554e-07,5.464e-05,5.806,"LGALS12"
8.303,1.627,3.589,0.0005736,0.005836,-0.5341,"COL6A3"
6.621,1.627,4.287,5.071e-05,0.001079,1.715,"SERPINA5"
11.28,1.622,5.585,3.197e-07,3.431e-05,6.485,"C1S"
3.056,1.622,3.191,0.002033,0.01425,-1.69,"C9orf44"
2.277,1.621,5.484,4.845e-07,4.577e-05,6.092,"C20orf195"
8.112,1.616,3.556,0.0006398,0.006315,-0.6344,"PLA2G5"
4.679,1.612,4.075,0.0001088,0.001838,1.003,"EMR1"
1.788,1.612,3.725,0.0003657,0.004197,-0.1195,"EREG"
6.004,1.607,4.875,5.523e-06,0.0002341,3.794,"GBP5"
10.84,1.607,5.852,1.054e-07,1.59e-05,7.537,"ITGB4"
7.787,1.607,7.357,1.548e-10,1.783e-07,13.73,"RBM47"
9.458,1.606,5.772,1.476e-07,1.978e-05,7.217,"SLC11A1"
5.12,1.602,5.201,1.522e-06,9.876e-05,5.01,"LOXL4"
9.462,1.602,7.186,3.302e-10,2.355e-07,13.01,"GLIS3"
6.653,1.602,4.169,7.786e-05,0.001456,1.315,"TFCP2L1"
3.744,1.6,3.356,0.001219,0.009935,-1.224,"CR1"
5.396,1.598,4.909,4.834e-06,0.0002122,3.92,"IL1RN"
11.92,1.596,5.98,6.16e-08,1.07e-05,8.046,"ANXA2"
5.226,1.596,4.508,2.244e-05,0.0006299,2.478,"LILRA6"
2.37,1.593,3.32,0.001363,0.01077,-1.326,"LRRIQ1"
3.912,1.591,4.572,1.761e-05,0.0005357,2.705,"MYCBPAP"
9.122,1.591,7.627,4.636e-11,7.921e-08,14.88,"C1RL"
6.042,1.59,5.095,2.325e-06,0.0001285,4.61,"BNC2"
5.78,1.589,4.206,6.813e-05,0.001324,1.44,"TRPM8"
3.678,1.586,5.382,7.357e-07,5.818e-05,5.697,"SH2D2A"
11.17,1.586,3.699,0.0003987,0.004506,-0.1993,"COL3A1"
3.525,1.584,3.389,0.001097,0.009227,-1.128,"C10orf81"
5.151,1.584,5.289,1.068e-06,7.578e-05,5.344,"LILRB3"
3.147,1.584,4.403,3.317e-05,0.0008096,2.112,"TACSTD2"
3.107,1.582,3.542,0.0006691,0.006517,-0.6755,"GZMK"
6.039,1.582,5.448,5.604e-07,4.889e-05,5.954,"LILRB2"
5.741,1.581,5.364,7.891e-07,6.036e-05,5.63,"LOC154761"
7.498,1.579,4.462,2.665e-05,0.0006996,2.317,"SDK1"
4.411,1.575,5.759,1.555e-07,2.057e-05,7.168,"PTPN22"
4.866,1.573,3.319,0.001368,0.0108,-1.33,"IL6"
5.361,1.572,3.515,0.0007324,0.006919,-0.7584,"FOLR1"
6.173,1.572,3.946,0.0001711,0.002508,0.5834,"CXCL2"
0.4275,1.572,4.093,0.0001022,0.001762,1.062,"WBSCR28"
5.627,1.571,3.169,0.002176,0.01498,-1.751,"CHRNA9"
6.37,1.57,3.732,0.0003561,0.004127,-0.09498,"C1orf192"
2.513,1.569,3.225,0.001836,0.01326,-1.597,"DTHD1"
1.851,1.569,4.035,0.0001254,0.002028,0.8713,"IFLTD1"
2.756,1.568,3.454,0.000891,0.00798,-0.938,"MLPH"
0.6903,1.568,4.161,8.013e-05,0.001485,1.288,"RETN"
8.522,1.567,3.583,0.0005865,0.005927,-0.5546,"S100A9"
3.118,1.565,2.78,0.0068,0.03439,-2.774,"CD70"
2.503,1.564,3.191,0.002036,0.01425,-1.691,"MMP1"
8.183,1.562,5.078,2.49e-06,0.0001354,4.545,"CD109"
5.519,1.56,5.322,9.358e-07,6.803e-05,5.469,"GPR84"
7.005,1.56,4.558,1.856e-05,0.0005547,2.656,"TCEA3"
4.046,1.558,5.339,8.736e-07,6.465e-05,5.534,"LRGUK"
7.589,1.557,3.138,0.002391,0.01605,-1.837,"MET"
10.36,1.556,5.11,2.194e-06,0.0001241,4.664,"ITGA3"
10.3,1.555,6.871,1.321e-09,6.945e-07,11.7,"MAN1C1"
3.515,1.549,4.455,2.737e-05,0.0007111,2.292,"RNASE3"
5.655,1.544,3.944,0.0001726,0.002517,0.575,"FAM46B"
12.48,1.544,4.882,5.368e-06,0.0002297,3.821,"AEBP1"
9.506,1.542,6.088,3.899e-08,7.836e-06,8.48,"FZD7"
0.9966,1.54,2.955,0.004117,0.02374,-2.326,"CCDC33"
3.994,1.539,3.85,0.0002383,0.003165,0.2761,"HTR1D"
9.239,1.539,6.08,4.024e-08,7.932e-06,8.45,"TNFAIP2"
5.209,1.537,4.739,9.331e-06,0.0003398,3.301,"C6orf97"
6.129,1.537,4.167,7.842e-05,0.00146,1.308,"BDKRB2"
8.245,1.53,3.99,0.0001467,0.002263,0.726,"SRPX2"
0.3966,1.529,3.475,0.0008337,0.007607,-0.8771,"C5orf46"
3.767,1.528,4.599,1.595e-05,0.0005008,2.798,"FAM86B2"
11.5,1.527,7.881,1.493e-11,3.4e-08,15.96,"PTRF"
1.928,1.527,4.069,0.0001112,0.001862,0.9835,"HES2"
0.8408,1.526,2.898,0.004866,0.02681,-2.476,"STOML3"
